Producto interno bruto por entidad federativa y tipo de actividad,,,,,,,,,,,,,,,,
Unidad de medida:Millones de pesos a precios de 2013.,,,,,,,,,,,,,,,,
Periodicidad: Anual,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Actividad económica,Entidad,Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015p/,2016
Total de la actividad económica,Nuevo León ,Nuevo León -Total de la actividad económica," 803,889 "," 849,842 "," 885,439 "," 946,838 "," 1,004,637 "," 1,020,367 "," 952,726 "," 1,025,184 "," 1,069,812 "," 1,113,818 "," 1,125,000 "," 1,162,972 "," 1,212,121 "," 1,228,744 "
Total de la actividad económica,Oaxaca ,Oaxaca -Total de la actividad económica," 202,964 "," 210,757 "," 213,677 "," 218,024 "," 219,815 "," 226,634 "," 224,511 "," 228,089 "," 234,956 "," 239,680 "," 245,516 "," 249,653 "," 259,566 "," 257,146 "
Total de la actividad económica,Puebla ,Puebla -Total de la actividad económica," 395,907 "," 405,908 "," 428,179 "," 447,201 "," 465,819 "," 468,969 "," 432,579 "," 469,968 "," 493,353 "," 524,226 "," 519,257 "," 526,426 "," 541,203 "," 557,877 "
Total de la actividad económica,Querétaro ,Querétaro -Total de la actividad económica," 212,107 "," 227,917 "," 243,311 "," 258,448 "," 271,622 "," 278,348 "," 270,311 "," 287,403 "," 308,865 "," 318,294 "," 319,990 "," 346,401 "," 372,046 "," 385,622 "
Total de la actividad económica,Quintana Roo ,Quintana Roo -Total de la actividad económica," 144,233 "," 156,942 "," 163,682 "," 174,365 "," 192,905 "," 203,019 "," 185,672 "," 195,149 "," 206,054 "," 215,710 "," 225,273 "," 232,945 "," 244,139 "," 262,760 "
Total de la actividad económica,San Luis Potosí ,San Luis Potosí -Total de la actividad económica," 224,280 "," 237,464 "," 247,240 "," 258,649 "," 264,316 "," 270,024 "," 255,846 "," 269,397 "," 283,882 "," 297,294 "," 307,896 "," 314,832 "," 331,993 "," 346,378 "
Total de la actividad económica,Sinaloa ,Sinaloa -Total de la actividad económica," 268,247 "," 284,659 "," 285,708 "," 294,952 "," 305,623 "," 316,381 "," 303,066 "," 312,655 "," 318,763 "," 330,191 "," 334,097 "," 340,782 "," 361,353 "," 381,109 "
Total de la actividad económica,Sonora ,Sonora -Total de la actividad económica," 365,534 "," 384,484 "," 404,881 "," 429,625 "," 435,397 "," 436,717 "," 410,374 "," 431,502 "," 471,510 "," 495,926 "," 510,316 "," 520,660 "," 539,830 "," 570,174 "
Total de la actividad económica,Tabasco ,Tabasco -Total de la actividad económica," 374,891 "," 391,243 "," 421,080 "," 445,310 "," 454,079 "," 475,203 "," 495,944 "," 525,012 "," 549,751 "," 564,004 "," 553,628 "," 562,849 "," 558,931 "," 523,613 "
Total de la actividad económica,Tamaulipas ,Tamaulipas -Total de la actividad económica," 391,574 "," 410,113 "," 436,491 "," 449,609 "," 464,008 "," 483,351 "," 439,739 "," 448,215 "," 456,769 "," 466,371 "," 473,241 "," 480,357 "," 493,110 "," 489,100 "
Total de la actividad económica,Tlaxcala ,Tlaxcala -Total de la actividad económica," 83,254 "," 89,790 "," 79,279 "," 77,890 "," 79,020 "," 83,247 "," 81,740 "," 88,810 "," 86,032 "," 89,919 "," 87,658 "," 90,813 "," 96,926 "," 97,665 "
Total de la actividad económica,Veracruz de Ignacio de la Llave ,Veracruz de Ignacio de la Llave -Total de la actividad económica," 613,590 "," 643,859 "," 648,906 "," 684,557 "," 705,609 "," 704,314 "," 688,981 "," 718,149 "," 746,818 "," 779,730 "," 781,357 "," 787,053 "," 799,006 "," 811,543 "
Total de la actividad económica,Yucatán ,Yucatán -Total de la actividad económica," 161,636 "," 169,014 "," 176,908 "," 185,463 "," 191,217 "," 193,159 "," 189,365 "," 196,150 "," 202,894 "," 214,701 "," 215,788 "," 223,750 "," 233,104 "," 242,005 "
Total de la actividad económica,Zacatecas ,Zacatecas -Total de la actividad económica," 101,406 "," 105,665 "," 105,661 "," 112,108 "," 115,935 "," 126,384 "," 130,512 "," 144,731 "," 144,877 "," 148,729 "," 146,859 "," 155,574 "," 158,286 "," 157,898 "
Actividades primarias,Total nacional ,Total nacional -Actividades primarias," 445,468 "," 455,971 "," 439,349 "," 466,936 "," 486,682 "," 486,465 "," 476,156 "," 488,029 "," 469,662 "," 499,516 "," 510,906 "," 530,221 "," 541,200 "," 561,603 "
Actividades primarias,Aguascalientes ,Aguascalientes -Actividades primarias," 5,262 "," 5,187 "," 5,587 "," 5,753 "," 6,041 "," 6,566 "," 6,216 "," 6,517 "," 6,909 "," 7,251 "," 7,271 "," 7,782 "," 8,008 "," 8,266 "
Actividades primarias,Baja California ,Baja California -Actividades primarias," 11,068 "," 12,588 "," 12,936 "," 12,501 "," 11,854 "," 11,634 "," 13,218 "," 13,323 "," 13,184 "," 13,220 "," 14,182 "," 14,088 "," 14,811 "," 13,512 "
Actividades primarias,Baja California Sur ,Baja California Sur -Actividades primarias," 3,449 "," 3,210 "," 3,687 "," 3,415 "," 3,353 "," 3,265 "," 3,083 "," 3,805 "," 3,660 "," 3,896 "," 3,772 "," 4,662 "," 4,873 "," 4,911 "
Actividades primarias,Campeche ,Campeche -Actividades primarias," 3,010 "," 3,500 "," 3,296 "," 3,860 "," 2,935 "," 3,321 "," 3,544 "," 4,239 "," 3,803 "," 4,015 "," 4,031 "," 4,565 "," 4,859 "," 5,251 "
Actividades primarias,Coahuila de Zaragoza ,Coahuila de Zaragoza -Actividades primarias," 11,281 "," 12,051 "," 13,495 "," 12,460 "," 12,894 "," 12,417 "," 13,485 "," 13,637 "," 13,154 "," 13,283 "," 13,261 "," 14,401 "," 13,685 "," 13,069 "
